Equipe;Categoria;Acertou;Pergunta;Quem Respondeu;Usou Ajuda;Data;
A;Brigada de Incêndio;Sim;Pergunta 05?;A;Não;12/08/2021 22:02:17
A;Brigada de Incêndio;Sim;Pergunta 23?;A;Não;12/08/2021 22:02:17
A;Brigada de Incêndio;Sim;Pergunta 02?;A;Não;12/08/2021 22:02:17
A;Brigada de Incêndio;Sim;Pergunta 22?;A;Não;12/08/2021 22:02:17
A;Brigada de Incêndio;Não;Pergunta 28?;A;Não;12/08/2021 22:02:17
A;Brigada de Incêndio;Não;Pergunta 01?;A;Sim;12/08/2021 22:02:17
A;Brigada de Incêndio;Sim;Qual é o extintor correto para utilização em sinistro em equipamentos energizados?;A;Sim;12/08/2021 22:02:17
A;Brigada de Incêndio;Não;Pergunta 30?;A;Não;12/08/2021 22:02:17
A;Brigada de Incêndio;Não;Pergunta 06?;A;Não;12/08/2021 22:02:17
B;Brigada de Incêndio;Sim;Pergunta 07?;B;Não;12/08/2021 22:02:17
B;Brigada de Incêndio;Sim;O que significa PQS?;B;Não;12/08/2021 22:02:17
B;Brigada de Incêndio;Sim;Pergunta 19?;B;Não;12/08/2021 22:02:17
B;Brigada de Incêndio;Sim;Pergunta 21?;B;Não;12/08/2021 22:02:17
B;Brigada de Incêndio;Não;Pergunta 08?;B;Não;12/08/2021 22:02:17
B;Brigada de Incêndio;Não;Pergunta 12?;B;Sim;12/08/2021 22:02:17
B;Brigada de Incêndio;Sim;Pergunta 20?;B;Sim;12/08/2021 22:02:17
B;Brigada de Incêndio;Não;Pergunta 15?;B;Não;12/08/2021 22:02:17
B;Brigada de Incêndio;Não;Pergunta 13?;B;Não;12/08/2021 22:02:17
