Equipe;Categoria;Acertou;Pergunta;Quem Respondeu;Usou Ajuda;Data;
A;Brigada de Incêndio;Sim;Pergunta 25?;ANDERSON;Sim;26/05/2021 14:20:59
A;Brigada de Incêndio;Sim;Pergunta 13?;ANDERSON 01 ;Sim;26/05/2021 14:20:59
A;Brigada de Incêndio;Não;Pergunta 07?;ANDRÉ;Não;26/05/2021 14:20:59
A;Brigada de Incêndio;Não;Pergunta 21?;WILIAN;Não;26/05/2021 14:20:59
A;Brigada de Incêndio;Sim;Pergunta 06?;LUIZ;Não;26/05/2021 14:20:59
A;Brigada de Incêndio;Não;O que significa AP?;AMARAL;Não;26/05/2021 14:20:59
B;Brigada de Incêndio;Não;Pergunta 18?;ROSA;Sim;26/05/2021 14:20:59
B;Brigada de Incêndio;Não;O que significa PQS?;VILSON;Sim;26/05/2021 14:20:59
B;Brigada de Incêndio;Não;Pergunta 04?;EDSON;Não;26/05/2021 14:20:59
B;Brigada de Incêndio;Não;Pergunta 30?;CARLOSMAR;Não;26/05/2021 14:20:59
B;Brigada de Incêndio;Sim;Pergunta 12?;GUSTAVO;Não;26/05/2021 14:20:59
B;Brigada de Incêndio;Não;Pergunta 03?;WALDEMIR;Não;26/05/2021 14:20:59
